iter	MultiClass
0	1.951354625
1	1.783065124
2	1.66681011
3	1.580302038
4	1.511660225
5	1.455150922
6	1.405938228
7	1.366569401
8	1.332909906
9	1.301388466
10	1.274445918
11	1.249816165
12	1.230467639
13	1.211150949
14	1.194346548
15	1.178703393
16	1.165488848
17	1.150982881
18	1.137792825
19	1.126682657
20	1.115415427
21	1.107117092
22	1.098484382
23	1.08918673
24	1.0795891
25	1.070504972
26	1.063796174
27	1.055301927
28	1.048211128
29	1.040184355
30	1.033170182
31	1.026282809
32	1.018557465
33	1.012504344
34	1.007844526
35	1.002709846
36	0.9986258619
37	0.9924682557
38	0.9867779103
39	0.982938806
40	0.9775514953
41	0.9718690604
42	0.9668284364
43	0.96208334
44	0.9582111875
45	0.9525309085
46	0.9484142594
47	0.9460754475
48	0.942350842
49	0.940031607
50	0.9356747756
51	0.9302409585
52	0.9258372463
53	0.9219565295
54	0.918442673
55	0.9149498732
56	0.9118466254
57	0.9073599707
58	0.9033315808
59	0.8986362649
60	0.8946650289
61	0.8914393395
62	0.8895421498
63	0.8862132893
64	0.881915423
65	0.88015319
66	0.8760431389
67	0.8717047135
68	0.8688293109
69	0.8665468149
70	0.8622251687
71	0.8595136263
72	0.8578917252
73	0.8542708908
74	0.8519182083
75	0.8493680465
76	0.8462847151
77	0.8433143711
78	0.8397047857
79	0.8381664236
