iter	Passed	Remaining
0	16	16408
1	24	12444
2	34	11302
3	43	10796
4	52	10396
5	65	10820
6	76	10851
7	86	10687
8	100	11053
9	115	11385
10	126	11338
11	134	11105
12	149	11362
13	164	11611
14	175	11503
15	184	11376
16	199	11520
17	214	11701
18	225	11627
19	234	11486
20	248	11591
21	261	11637
22	272	11557
23	281	11451
24	296	11547
25	307	11508
26	316	11404
27	331	11491
28	345	11565
29	356	11536
30	365	11421
31	380	11506
32	393	11525
33	403	11450
34	413	11393
35	426	11423
36	438	11404
37	447	11327
38	461	11383
39	472	11344
40	482	11294
41	495	11301
42	509	11345
43	520	11316
44	529	11242
45	544	11284
46	554	11252
47	564	11196
48	577	11201
49	587	11168
50	596	11095
51	606	11065
52	619	11070
53	630	11044
54	642	11037
55	653	11012
56	662	10966
57	675	10971
58	686	10951
59	698	10945
60	708	10911
61	722	10923
62	734	10922
63	743	10872
64	759	10919
65	774	10960
66	790	11003
67	806	11051
68	824	11122
69	846	11240
70	864	11313
71	880	11349
72	895	11376
73	908	11365
74	926	11421
75	941	11448
76	957	11480
77	974	11522
78	991	11557
79	1003	11543
